Round,Theta,mu_t,Sb,Sa,Bid,Ask,Trader Type,Trade,Price,Spread Size,Pricing Error
1,0.04999999999999999,100.0,1.8,1.8,98.2,101.8,I,-1,98.2,3.5999999999999943,0.20000000000000284
2,0.002762430939226518,98.19999999999999,1.8,1.8,96.39999999999999,99.99999999999999,I,-1,96.39999999999999,3.5999999999999943,1.6000000000000085
3,0.0001457725947521865,98.0110497237569,0.18895027624309388,0.18895027624309388,97.8220994475138,98.19999999999999,I,-1,97.8220994475138,0.3779005524861816,0.17790055248619296
4,7.673301514709714e-06,98.00058309037901,0.010466633377897328,0.010466633377897328,97.99011645700111,98.01104972375691,I,-1,97.99011645700111,0.020933266755804425,0.00988354299889238
5,4.038609103024915e-07,98.00003069320606,0.0005523971729499072,0.0005523971729499072,97.9994782960331,98.00058309037901,I,-1,97.9994782960331,0.001104794345906157,0.0005217039668963253
6,2.1255845516935974e-08,98.00000161544364,2.907776241762889e-05,2.907776241762889e-05,97.99997253768122,98.00003069320606,I,-1,97.99997253768122,5.815552484023101e-05,2.7462318783477713e-05
7,1.1187287339456538e-09,98.00000008502339,1.5304202591422218e-06,1.5304202591422218e-06,97.99999855460312,98.00000161544365,I,-1,97.99999855460312,3.0608405268139904e-06,1.4453968759653435e-06
8,2.1255845516935974e-08,98.00000000447491,8.054846713196128e-08,8.054846713196128e-08,97.99999992392645,98.00000008502337,U,1,98.00000008502337,1.6109692069221637e-07,8.5023373230797e-08
9,1.1187287339456538e-09,98.00000008502339,1.5304202591422218e-06,1.5304202591422218e-06,97.99999855460312,98.00000161544365,I,-1,97.99999855460312,3.0608405268139904e-06,1.4453968759653435e-06
10,5.888045974375454e-11,98.00000000447491,8.054846713196128e-08,8.054846713196128e-08,97.99999992392645,98.00000008502337,I,-1,97.99999992392645,1.6109692069221637e-07,7.607354746141937e-08
11,3.0989715656336297e-12,98.00000000023552,4.239393096807598e-09,4.239393096807598e-09,97.99999999599612,98.00000000447491,I,-1,97.99999999599612,8.478792778987554e-09,4.003879894298734e-09
12,1.6310376661277513e-13,98.00000000001239,2.2312595271248364e-10,2.2312595271248364e-10,97.99999999978927,98.00000000023552,I,-1,97.99999999978927,4.462492597667733e-10,2.1073276457173051e-10
13,8.584408769094753e-15,98.00000000000065,1.1743471196083421e-11,1.1743471196083421e-11,97.99999999998892,98.00000000001239,I,-1,97.99999999998892,2.347633198951371e-11,1.1084466677857563e-11
14,4.518109878470958e-16,98.00000000000004,6.180774313747216e-13,6.180774313747216e-13,97.99999999999943,98.00000000000065,I,-1,97.99999999999943,1.2221335055073723e-12,5.684341886080801e-13
15,2.3779525676162946e-17,98.0,3.2530391124990625e-14,3.2530391124990625e-14,97.99999999999997,98.00000000000003,I,-1,97.99999999999997,5.684341886080802e-14,2.842170943040401e-14
16,1.2515539829559441e-18,98.0,1.7121258486837318e-15,1.7121258486837318e-15,98.0,98.0,I,-1,98.0,0.0,0.0
17,6.587126226083915e-20,98.0,9.0111886772828e-17,9.0111886772828e-17,98.0,98.0,I,-1,98.0,0.0,0.0
18,3.466908540044165e-21,98.0,4.74273088278042e-18,4.74273088278042e-18,98.0,98.0,I,-1,98.0,0.0,0.0
19,1.8246887052864023e-22,98.0,2.496174148831799e-19,2.496174148831799e-19,98.0,98.0,I,-1,98.0,0.0,0.0
20,9.603624764665272e-24,98.0,1.3137758678062101e-20,1.3137758678062101e-20,98.0,98.0,I,-1,98.0,0.0,0.0
21,5.054539349823827e-25,98.0,6.914609830558997e-22,6.914609830558997e-22,98.0,98.0,I,-1,98.0,0.0,0.0
22,2.6602838683283293e-26,98.0,3.639268331873156e-23,3.639268331873156e-23,98.0,98.0,I,-1,98.0,0.0,0.0
23,1.400149404383331e-27,98.0,1.9154043851963976e-24,1.9154043851963976e-24,98.0,98.0,I,-1,98.0,0.0,0.0
24,7.369207391491214e-29,98.0,1.0081075711559985e-25,1.0081075711559985e-25,98.0,98.0,I,-1,98.0,0.0,0.0
25,3.878530206048007e-30,98.0,5.3058293218736755e-27,5.3058293218736755e-27,98.0,98.0,I,-1,98.0,0.0,0.0
26,2.0413316873936876e-31,98.0,2.7925417483545656e-28,2.7925417483545656e-28,98.0,98.0,I,-1,98.0,0.0,0.0
27,1.0743850986282564e-32,98.0,1.4697588149234554e-29,1.4697588149234554e-29,98.0,98.0,I,-1,98.0,0.0,0.0
28,5.6546584138329275e-34,98.0,7.735572710123448e-31,7.735572710123448e-31,98.0,98.0,I,-1,98.0,0.0,0.0
29,2.9761360072804874e-35,98.0,4.071354057959709e-32,4.071354057959709e-32,98.0,98.0,I,-1,98.0,0.0,0.0
30,1.5663873722528877e-36,98.0,2.1428179252419512e-33,2.1428179252419512e-33,98.0,98.0,I,-1,98.0,0.0,0.0
31,8.244144064488881e-38,98.0,1.1277989080220794e-34,1.1277989080220794e-34,98.0,98.0,U,-1,98.0,0.0,0.0
32,4.3390231918362524e-39,98.0,5.935783726431995e-36,5.935783726431995e-36,98.0,98.0,I,-1,98.0,0.0,0.0
33,2.283696416755922e-40,98.0,3.1240966981221027e-37,3.1240966981221027e-37,98.0,98.0,I,-1,98.0,0.0,0.0
34,1.2019454825031166e-41,98.0,1.6442614200642643e-38,1.6442614200642643e-38,98.0,98.0,I,-1,98.0,0.0,0.0
35,6.32602885527956e-43,98.0,8.65400747402244e-40,8.65400747402244e-40,98.0,98.0,I,-1,98.0,0.0,0.0
36,3.3294888711997683e-44,98.0,4.554740775801284e-41,4.554740775801284e-41,98.0,98.0,I,-1,98.0,0.0,0.0
37,1.7523625637893514e-45,98.0,2.397231987263834e-42,2.397231987263834e-42,98.0,98.0,I,-1,98.0,0.0,0.0
